cond,peers,rep,gbps,wasted,useful,wasted_frac
stock,8,1,4.134,690168,1371724,0.3347
root,8,1,4.133,359392,1371794,0.2076
move,8,1,4.150,523325,1365267,0.2771
batch,8,1,4.122,498417,1053091,0.3212
batch,8,2,4.102,485297,1046727,0.3168
root,8,2,4.125,358018,1362340,0.2081
stock,8,2,4.151,672004,1390485,0.3258
move,8,2,4.118,537457,1382881,0.2799
stock,8,3,4.133,674389,1404208,0.3244
batch,8,3,4.134,495259,1050697,0.3204
move,8,3,4.155,503305,1346219,0.2721
root,8,3,4.131,340269,1383266,0.1974
root,8,4,4.165,339203,1382548,0.1970
batch,8,4,4.098,452848,1080255,0.2954
move,8,4,4.143,524978,1366118,0.2776
stock,8,4,4.146,712621,1413855,0.3351
batch,8,5,4.086,480158,1089686,0.3059
root,8,5,4.131,350373,1401705,0.2000
move,8,5,4.171,520909,1365971,0.2761
stock,8,5,4.152,681031,1388179,0.3291
