core,busy_pct,softirq_pct
cpu5,100.0,97.6
cpu1,21.3,0.0
cpu17,19.5,0.0
cpu10,18.8,0.0
cpu2,17.7,0.0
cpu33,17.3,0.1
cpu26,17.1,0.8
cpu9,16.5,0.8
cpu0,16.3,0.0
cpu30,16.1,0.0
cpu32,15.7,0.1
cpu18,15.6,0.0
cpu11,15.4,0.1
cpu21,14.9,0.8
cpu27,14.8,0.9
cpu31,14.3,0.0
cpu20,13.6,0.0
cpu3,13.6,0.1
cpu6,13.3,0.0
cpu34,13.2,0.0
cpu16,13.0,0.0
cpu29,13.0,1.0
cpu28,12.9,1.3
cpu19,12.7,0.0
cpu7,12.4,1.2
cpu24,12.1,0.1
cpu4,12.1,0.0
cpu12,11.9,0.0
cpu22,11.3,0.0
cpu35,11.2,0.0
cpu23,10.6,0.0
cpu39,10.5,0.1
cpu38,10.4,0.0
cpu8,10.3,0.0
cpu37,10.1,0.0
cpu36,9.8,0.0
cpu13,9.5,0.0
cpu15,9.5,0.0
cpu14,8.9,0.0
cpu25,7.6,0.0
