date,srcversion,wg_steal,rep,gbps,retransmits,softirq_ce,system_ce,total_busy_ce,dmesg_delta
2026-07-15T05:16:45-05:00,40814CD3CA80D0908BF87D3,0,2,4.2088,1605,0.986,4.785,4.820,0
2026-07-15T05:17:09-05:00,40814CD3CA80D0908BF87D3,2,1,4.3552,2088,0.986,4.586,4.616,0
2026-07-15T05:17:32-05:00,40814CD3CA80D0908BF87D3,2,4,4.0956,1669,0.983,4.426,4.459,0
2026-07-15T05:17:56-05:00,40814CD3CA80D0908BF87D3,4,3,4.3433,1807,0.983,4.539,4.570,0
2026-07-15T05:18:19-05:00,40814CD3CA80D0908BF87D3,4,4,4.4527,1966,0.987,4.653,4.686,0
2026-07-15T05:18:43-05:00,40814CD3CA80D0908BF87D3,16,3,4.2201,1366,0.981,4.607,4.636,0
2026-07-15T05:19:06-05:00,40814CD3CA80D0908BF87D3,4,1,4.4336,1893,0.980,4.697,4.735,0
2026-07-15T05:19:29-05:00,40814CD3CA80D0908BF87D3,0,1,4.2317,1970,0.990,4.771,4.808,0
2026-07-15T05:19:53-05:00,40814CD3CA80D0908BF87D3,16,2,4.2035,1867,0.983,4.502,4.537,0
2026-07-15T05:20:16-05:00,40814CD3CA80D0908BF87D3,4,5,4.2867,1880,0.980,4.557,4.592,0
2026-07-15T05:20:40-05:00,40814CD3CA80D0908BF87D3,2,2,4.1662,1536,0.985,4.495,4.525,0
2026-07-15T05:21:03-05:00,40814CD3CA80D0908BF87D3,1,2,4.0544,1409,0.983,4.417,4.449,0
2026-07-15T05:21:27-05:00,40814CD3CA80D0908BF87D3,2,3,4.4659,1754,0.986,4.674,4.702,0
2026-07-15T05:21:50-05:00,40814CD3CA80D0908BF87D3,1,3,4.1229,1200,0.980,4.470,4.504,0
2026-07-15T05:22:13-05:00,40814CD3CA80D0908BF87D3,4,2,4.3205,1620,0.984,4.555,4.589,0
2026-07-15T05:22:37-05:00,40814CD3CA80D0908BF87D3,16,5,4.2007,1528,0.983,4.511,4.541,0
2026-07-15T05:23:00-05:00,40814CD3CA80D0908BF87D3,8,4,4.3255,1684,0.986,4.573,4.605,0
2026-07-15T05:23:24-05:00,40814CD3CA80D0908BF87D3,0,3,4.1398,1480,0.983,4.677,4.717,0
2026-07-15T05:23:47-05:00,40814CD3CA80D0908BF87D3,1,5,4.1576,1320,0.979,4.464,4.494,0
2026-07-15T05:24:11-05:00,40814CD3CA80D0908BF87D3,8,3,4.2246,1794,0.985,4.543,4.585,0
2026-07-15T05:24:34-05:00,40814CD3CA80D0908BF87D3,0,5,4.2408,1904,0.984,4.793,4.831,0
2026-07-15T05:24:57-05:00,40814CD3CA80D0908BF87D3,0,4,4.1451,2056,0.979,4.728,4.763,0
2026-07-15T05:25:21-05:00,40814CD3CA80D0908BF87D3,8,5,4.2382,1592,0.980,4.545,4.575,0
2026-07-15T05:25:44-05:00,40814CD3CA80D0908BF87D3,1,4,4.2602,1593,0.983,4.529,4.558,0
2026-07-15T05:26:08-05:00,40814CD3CA80D0908BF87D3,16,1,4.4241,2147,0.982,4.707,4.742,0
2026-07-15T05:26:31-05:00,40814CD3CA80D0908BF87D3,1,1,4.3714,1660,0.983,4.658,4.697,0
2026-07-15T05:26:55-05:00,40814CD3CA80D0908BF87D3,16,4,4.2942,1671,0.978,4.591,4.623,0
2026-07-15T05:27:18-05:00,40814CD3CA80D0908BF87D3,8,2,4.3999,2023,0.985,4.664,4.698,0
2026-07-15T05:27:41-05:00,40814CD3CA80D0908BF87D3,8,1,4.3668,1780,0.981,4.623,4.657,0
2026-07-15T05:28:05-05:00,40814CD3CA80D0908BF87D3,2,5,4.2489,1707,0.983,4.639,4.673,0
